endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2016-12-31,,,-15478000,,-15478000,4766000,-12951000,-17717000,-17717000,,,,,,0,9792000,27509000,22743000,2239000,,-15478000,-15478000,49668,APTX
2019-12-31,182866000,,-213256000,,-213256000,42573000,3335000,-222104000,-222104000,,,,,,0,3335000,225439000,0,8848000,,-213256000,-213256000,49669,MRTX
2018-12-31,93872000,,-98418000,,-98418000,21681000,12926000,-102627000,-102627000,,,,,,0,12926000,115553000,0,8418000,,-98418000,-98418000,49669,MRTX
2017-12-31,58085000,,-70430000,,-70430000,13450000,0,-71535000,-71535000,,,,,,0,0,71535000,0,1110000,,-70430000,-70430000,49669,MRTX
2016-12-31,68487000,,-83118000,,-83118000,15292000,0,-83779000,-83779000,,,,,,0,0,83779000,0,-1878000,,-83118000,-83118000,49669,MRTX
2019-12-31,,,848993000,,672309000,,1261286000,950369000,950369000,302329000,-56310000,,,,176684000,1526955000,576586000,265669000,-101376000,,672309000,672309000,49673,RDN
2018-12-31,,,684186000,,606011000,,1044976000,753329000,753329000,279218000,-61490000,,,,78175000,1273006000,519677000,228030000,-69143000,,606011000,606011000,49673,RDN
2017-12-31,,,346737000,,121088000,,957601000,678409000,678409000,267321000,-62761000,,,,225649000,1221631000,543222000,264030000,-331672000,,121088000,121088000,49673,RDN
2016-12-31,,,483686000,,308253000,,898010000,640412000,640412000,244377000,-81132000,,,,175433000,1238452000,598040000,340442000,-156726000,,308253000,308253000,49673,RDN
2019-12-31,11134716,,-33122888,,-33122888,9558641,0,-20693357,-20693357,,,,,,0,0,20693357,0,-25038339,,-33122888,-33122888,49674,ONCY
2018-12-31,9417888,,-16489183,,-17037225,7244791,0,-16662679,-16662679,,,,,,548042,0,16662679,0,173496,,-17037225,-17037225,49674,ONCY
2017-12-31,8612957,,-15475353,,-15616851,6212831,0,-14825788,-14825788,,,,,,141498,0,14825788,0,-649565,,-15616851,-15616851,49674,ONCY
2016-12-31,8439179,,-15130605,,-15139979,5524500,0,-13963679,-13963679,,,,,,9374,0,13963679,0,-1166926,,-15139979,-15139979,49674,ONCY
2020-12-31,,,-9392000,,-10640000,28204000,47616000,0,14268000,5144000,,,,,1248000,47616000,33348000,0,-23660000,,-10640000,-10640000,49675,CBFV
2019-12-31,,,16056000,,14327000,27507000,51847000,0,18301000,6039000,,,,,1729000,51847000,33546000,0,-2245000,,14327000,14327000,49675,CBFV
2018-12-31,,,8590000,,7052000,25977000,43584000,0,11690000,5917000,,,,,1538000,43584000,31894000,0,-3100000,,7052000,7052000,49675,CBFV
2017-12-31,,,9818000,,6944000,19677000,34933000,0,10733000,4523000,,,,,2874000,34933000,24200000,0,-915000,,6944000,6944000,49675,CBFV
2020-07-31,768100000,,-231800000,,-267000000,1813800000,2408900000,-173000000,-173000000,,-88700000,,,,35200000,3408400000,3581400000,999500000,-58800000,,-267000000,-267000000,49678,PANW
2019-07-31,539500000,,-74600000,,-81900000,1578800000,2091200000,-27100000,-27100000,,-83900000,,,,7300000,2899600000,2926700000,808400000,-47500000,,-81900000,-81900000,49678,PANW
2018-07-31,400700000,,-105300000,,-122200000,1292800000,1628500000,-65000000,-65000000,,-29600000,,,,16900000,2273600000,2338600000,645100000,-40300000,,-122200000,-122200000,49678,PANW
2017-07-31,347400000,,-180100000,,-203000000,1076200000,1278700000,-144900000,-144900000,,-24500000,,,,22900000,1755100000,1900000000,476400000,-35200000,,-203000000,-203000000,49678,PANW
2020-12-31,,,17743000,,13687000,,47607000,0,17743000,29864000,,,,,4056000,47607000,29864000,0,0,,13687000,13687000,49679,OVLY
2019-12-31,,,16689000,,12489000,22800000.0,45536000,0,16959000,5777000,,,,,4200000,45536000,28577000,0,-270000,,12489000,12489000,49679,OVLY
2018-12-31,,,15347000,,11537000,21540000.0,42725000,0,15872000,5313000,,,,,3810000,42725000,26853000,0,-525000,,11537000,11537000,49679,OVLY
2017-12-31,,,15241000,,9094000,19016000.0,38868000,0,14795000,5057000,,,,,6147000,38868000,24073000,0,446000,,9094000,9094000,49679,OVLY
2020-04-30,5853000,,-1845000,,-1975000,10856000,15241000,-1468000,-1468000,,,,,,130000,32123000,33591000,16882000,-377000,,-1975000,-1975000,49683,CSBR
2019-04-30,4798000,,231000,,128000,7734000,12802000,270000,270000,,,,,,103000,27067000,26797000,14265000,-39000,,128000,128000,49683,CSBR
2018-04-30,4401000,,-1443000,,-1476000,6641000,9688000,-1354000,-1354000,,,,,,33000,20241000,21595000,10553000,-89000,,-1476000,-1476000,49683,CSBR
2017-04-30,4293000,,-6865000,,-6884000,8224000,5708000,-6809000,-6809000,,,,,,19000,15411000,22220000,9703000,-56000,,-6884000,-6884000,49683,CSBR
2019-12-31,,,114465266,,114465266,6786515,23704684,16918169,16918169,,,,,,0,23704684,6786515,0,97547097,,114465266,114465266,49684,BGY
2018-12-31,,,-91208975,,-91208975,6948297,25197183,18248886,18248886,,,,,,0,25197183,6948297,0,-109457861,,-91208975,-91208975,49684,BGY
2017-12-31,,,134660631,,134660631,7528283,17186003,9657720,9657720,,,,,,0,17186003,7528283,0,125002911,,134660631,134660631,49684,BGY
2016-12-31,,,-16112407,,-16112407,7249588,17258844,10009256,10009256,,,,,,0,17258844,7249588,0,-26121663,,-16112407,-16112407,49684,BGY
2020-01-31,16050000,,-8873000,,-8921000,27390000,43502000,62000,62000,,,,,,48000,67154000,67092000,23652000,-8935000,,-8921000,-8921000,49686,SEAC
2019-01-31,19705000,,-40020000,,-38002000,34032000,37330000,-16407000,-16407000,,,,,,-2018000,62402000,78809000,25072000,-23613000,,-38002000,-38002000,49686,SEAC
2018-01-31,23444000,,1226000,,13498000,31170000,53944000,-670000,-670000,,,,,,-12272000,80267000,80937000,26323000,1896000,,13498000,13498000,49686,SEAC
2017-01-31,30093000,,-56618000,,-71249000,32331000,41470000,-22627000,-22627000,-4118000.0,,,,,14631000,83795000,106422000,42325000,-33991000,,-71249000,-71249000,49686,SEAC
2019-12-31,,,-134535000,62771000,-121841000,415176000,293093000,-122083000,-122083000,,-342000,,,,185000,1459418000,1581501000,1166325000,-12452000,,-134720000,-120645000,49687,OSTK
2018-12-31,,,-219954000,78960000,-206070000,556514000,353908000,-202606000,-202606000,,-1468000,,,,-2384000,1821592000,2024198000,1467684000,-17348000,,-217570000,-204877000,49687,OSTK
2017-12-31,,,-47734000,-3505000,-109878000,387185000,340551000,-46634000,-46634000,,-2937000,,,,64188000,1744756000,1791390000,1404205000,-1100000,,-111922000,-107134000,49687,OSTK
2016-12-31,,,20545000,-2366000,12522000,342954000,331349000,-11605000,-11605000,,-877000,,,,9297000,1799963000,1811568000,1468614000,32150000,,11248000,12522000,49687,OSTK
2019-12-31,,,-13800,,-13800,9000,0,-13800,-13800,4800,,,,,0,0,13800,0,0,,-13800,-13800,49688,DFPH
2020-12-31,,,36788000,,30165000,33163000,82513000,0,37303000,12047000,,,,,6623000,82513000,45210000,0,-515000,,30165000,30165000,49690,MCBC
2019-12-31,,,39441000,,31979000,36944000,83665000,0,39933000,6788000,,,,,7462000,83665000,43732000,0,-492000,,31979000,31979000,49690,MCBC
2018-12-31,,,32350000,,26379000,36936000,76679000,0,32937000,6806000,,,,,5971000,76679000,43742000,0,-587000,,26379000,26379000,49690,MCBC
2017-12-31,,,27025000,,16292000,36170000,70713000,0,27629000,6914000,,,,,10733000,70713000,43084000,0,-604000,,16292000,16292000,49690,MCBC
2020-02-29,,,40986791,,40986791,3424653,22973087,19548434,19548434,,-5663537,,,,0,22973087,3424653,0,21438357,,40986791,40986791,49697,VPV
2019-02-28,,,11239877,,11239877,3360895,23335093,19930705,19930705,43493.0,-5359068,,,,0,23335093,3404388,0,-8716213,,11239877,11239877,49697,VPV
2018-02-28,,,10819601,,10819601,3436899,25779197,22342298,22342298,43493.0,-4410402,,,,0,25779197,3436899,0,-11522697,,10819601,10819601,49697,VPV
2017-02-28,,,516471,,516471,3229031,22823230,19543569,19543569,50630.0,-2946828,,,,0,22823230,3279661,0,-19027098,,516471,516471,49697,VPV
2019-12-31,,,-23645000,6370000,-20383000,300917000,761606000,79452000,79452000,,-136660000,,,,-3714000,1336542000,1257090000,574936000,-103097000,,-19931000,-20845000,49698,CNSL
2018-12-31,,,-74698000,5918000,-50834000,322076000,787202000,32458000,32458000,,-134578000,,,,-24127000,1399074000,1366616000,611872000,-107156000,,-50571000,-51644000,49698,CNSL
2017-12-31,,,-59628000,5655000,64945000,249399000,613576000,72304000,72304000,,-129786000,,,,-124927000,1059574000,987270000,445998000,-131932000,,65299000,64583000,49698,CNSL
2016-12-31,,,38158000,5301000,14931000,158491000,421765000,89264000,89264000,,-76826000,,,,22962000,743177000,653913000,321412000,-51106000,,15196000,14407000,49698,CNSL
2019-12-31,,,-11056000000,252000000,-7656000000,-36000000,4575000000,1377000000,1377000000,,-948000000,,,,-3400000000,17129000000,15752000000,12554000000,-12433000000,,-7656000000,-7656000000,49700,PCG
2018-12-31,,,-10143000000,252000000,-6851000000,-52000000,5352000000,2368000000,2368000000,,-943000000,,,,-3292000000,16759000000,14391000000,11407000000,-12511000000,,-6851000000,-6851000000,49700,PCG
2017-12-31,,,2157000000,252000000,1646000000,-1000000,5837000000,2984000000,2984000000,,-902000000,,,,511000000,17135000000,14151000000,11298000000,-827000000,,1646000000,1646000000,49700,PCG
2016-12-31,,,1448000000,252000000,1393000000,-12000000,4987000000,2244000000,2244000000,,-843000000,,,,55000000,17666000000,15422000000,12679000000,-796000000,,1393000000,1393000000,49700,PCG
2019-12-31,,,-48095000,-1518000,-16782000,139791000,237762000,-3300000,-3300000,,-32520000,,,,-30893000,900127000,903427000,662365000,-44795000,,-17202000,-16782000,49701,ENV
2018-12-31,,,-9162000,-1098000,5755000,138427000,231775000,15722000,15722000,-590000.0,-25203000,,,,-13172000,812363000,796641000,580588000,-24884000,,4010000,5755000,49701,ENV
2017-12-31,,,-1689000,398000,-3280000,119977000,200250000,17453000,17453000,346000.0,-16347000,,,,1591000,683679000,666226000,483429000,-19142000,,-3280000,-3280000,49701,ENV
2016-12-31,,,-40490000,398000,-55567000,101528000,155990000,-15766000,-15766000,6229000.0,-16600000,,,,15077000,578164000,593930000,422174000,-24724000,,-55567000,-55567000,49701,ENV
2019-12-31,28137000,,-6765000,,-12884000,34111000,52339000,-9909000,-9909000,,,,,,6119000,176619000,186528000,124280000,3144000,,-12884000,-12884000,49702,LASR
2018-12-31,21054000,,17538000,,13938000,28844000,66961000,17063000,17063000,,,,,,3600000,191359000,174296000,124398000,475000,,13938000,9523000,49702,LASR
2017-12-31,15123000,,6695000,,1837000,19353000,44274000,9798000,9798000,,-1269000.0,,,,4858000,138580000,128782000,94306000,-3103000,,13938000,9523000,49702,LASR
2016-12-31,15239000,,-12320000,,-14202000,17265000,23166000,-9338000,-9338000,,-2229000.0,,,,1882000,101325000,110663000,78159000,-3282000,,-14202000,-14202000,49702,LASR
2019-12-31,,,2302000000,750000000,2172000000,,3046000000,2439000000,2439000000,595000000,-67000000,,,,117000000,16258000000,13819000000,13212000000,-137000000,,2185000000,2136000000,49703,ATH
2018-12-31,,,1175000000,750000000,1053000000,,1801000000,1254000000,1254000000,536000000,-57000000,,,,122000000,6637000000,5383000000,4836000000,-79000000,,1053000000,1053000000,49703,ATH
2017-12-31,,,1464000000,750000000,1358000000,,2136000000,1548000000,1548000000,555000000,-16000000,,,,106000000,8788000000,7240000000,6652000000,-84000000,,1358000000,1358000000,49703,ATH
2016-12-31,,,712000000,1000000,773000000,13000000.0,1352000000,743000000,743000000,512000000,-9000000,,,,-61000000,4105000000,3362000000,2753000000,-31000000,,773000000,773000000,49703,ATH
2020-12-31,,,64940000,,64914000,28341000,110355000,82014000,82014000,,-11647000,,,,26000,676378000,594364000,566023000,-17074000,,64914000,60512000,49706,WTRE
2019-12-31,,,62561000,,62541000,30843000,135142000,104299000,104299000,,-33491000,,,,20000,715065000,610766000,579923000,-41738000,,62541000,44745000,49706,WTRE
2018-12-31,,,-34856000,,-34883000,22311000,19344000,-2967000,-2967000,,-26500000,,,,27000,601735000,604702000,582391000,-31889000,,-34883000,-54516000,49706,WTRE
2017-12-31,,,10762000,,10741000,21174000,46416000,25242000,25242000,,-15900000,,,,21000,623544000,598302000,577128000,-14480000,,10741000,-8892000,49706,WTRE
2019-12-31,4585000,,-8599000,,-8599000,4108000,0,-8693000,-8693000,,,,,,0,0,8693000,0,94000,,-8599000,-8599000,49708,BPTH
2018-12-31,4603000,,-8583000,,-8583000,3379000,0,-7982000,-7982000,,,,,,0,0,7982000,0,-601000,,-8583000,-8583000,49708,BPTH
2017-12-31,5480000,,-7023000,,-7023000,3523000,37000,-8966000,-8966000,,,,,,0,37000,9003000,0,1943000,,-7023000,-8061000,49708,BPTH
2016-12-31,5474000,,-6750000,,-6750000,3014000,13000,-8475000,-8475000,,,,,,0,13000,8488000,0,1725000,,-6750000,-6750000,49708,BPTH
2019-12-31,,,-211535000,,-235329000,120444000,162929000,-50315000,-50315000,,,,,,23794000,579920000,630235000,416991000,-161220000,,-235329000,-235329000,49709,FI
2018-12-31,,,-93683000,,-90733000,126638000,143430000,-94500000,-94500000,,,,,,-2950000,522493000,616993000,379063000,817000,,-90733000,-90733000,49709,FI
2017-12-31,,,-86539000,,-159457000,129218000,109887000,-141433000,-141433000,,,,,,72918000,454795000,596228000,344908000,54894000,,-159457000,-159457000,49709,FI
2016-12-31,,,-181722000,,-135338000,171887000,170263000,-115839000,-115839000,,,,,,-25643000,487531000,603370000,317268000,-65883000,,-156079000,-135339000,49709,FI
2019-11-30,,,3455000,,3668000,7677000,32051000,12573000,12573000,,-6408000,,,,-213000,44045000,31472000,11994000,-9118000,,3668000,3668000,49710,INDT
2018-11-30,,,-1148000,,-1653000,7749000,24124000,4971000,4971000,,-6270000,,,,505000,33800000,28829000,9676000,-6119000,,-1653000,-1653000,49710,INDT
2017-11-30,,,7300000,,4627000,8552000,31238000,12622000,12622000,,-5690000,,,,2673000,43884000,31262000,12646000,-5322000,,4627000,4627000,49710,INDT
2016-11-30,,,1311000,,576000,7367000,21791000,5627000,5627000,,-4545000,,,,735000,30851000,25224000,9060000,-4316000,,576000,576000,49710,INDT
2019-12-31,,,3613000,-28000,3613000,9245000,99841000,59916000,59916000,,-57334000,,,,0,130901000,70985000,31060000,-56303000,,3613000,-7950000,49713,DLNG
2018-12-31,,,3613000,-16000,3613000,8556000,91869000,52983000,52983000,,-50145000,,,,0,127135000,74152000,35266000,-49370000,,3613000,-4046000,49713,DLNG
2017-12-31,,,17339000,-16000,17339000,7848000,102111000,63944000,63944000,,-45162000,,,,0,138990000,75046000,36879000,-46605000,,17339000,10589000,49713,DLNG
2016-12-31,,,66854000,-16000,66854000,7884000,140358000,102079000,102079000,,-34871000,,,,0,169851000,67772000,29493000,-35225000,,66854000,60104000,49713,DLNG
2019-12-31,14282000,,-101832000,,-92800000,124837000,110583000,-28536000,-28536000,,-980000,,,,-9537000,309285000,337821000,198702000,-73296000,-505000,-92295000,-92800000,49715,NLS
2018-12-31,16825000,,21001000,,14658000,143946000,181740000,20969000,20969000,,-1051000,,,,5891000,396753000,375784000,215013000,32000,-452000,15110000,14658000,49715,NLS
2017-12-31,15446000,,35705000,,26267000,143333000,203882000,45103000,45103000,,-1552000,,,,8080000,406184000,361081000,202302000,-9398000,-1358000,27625000,26267000,49715,NLS
2016-12-31,13919000,,51581000,,34178000,144212000,211525000,53394000,53394000,,-1928000,,,,16480000,406039000,352645000,194514000,-1960000,-923000,35101000,34178000,49715,NLS
2019-12-31,,,-63591000,,-59747000,12785000,24219000,-55160000,-55160000,3531000,-6817000,,,,-3844000,117019000,172179000,92800000,-8431000,,-59747000,-59747000,49717,MUX
2018-12-31,,,-47640000,,-44870000,11125000,32098000,-35324000,-35324000,3464000,-1619000,,,,-2770000,128175000,163499000,96077000,-12316000,,-44870000,-44870000,49717,MUX
2017-12-31,,,-26003000,,-10634000,11044000,12987000,-24231000,-24231000,2061000,-938000,,,,-15369000,67465000,91696000,54478000,-1772000,,-10634000,-10634000,49717,MUX
2016-12-31,,,17306000,,21055000,12734000,24853000,2396000,2396000,595000,-938000,,,,-3749000,60388000,57992000,35535000,14910000,,21055000,21055000,49717,MUX
2019-12-28,,,105692000,,76389000,145245000,405097000,241309000,241309000,,-98126000,,,,29303000,1660414000,1419105000,1255317000,-135617000,,76389000,76389000,49721,BGS
2018-12-29,,,222277000,,172435000,152906000,425800000,254551000,254551000,,-108334000,,,,49842000,1700764000,1446213000,1274964000,-32274000,,172435000,172435000,49721,BGS
2017-12-30,,,148062000,,217463000,149339000,442958000,276008000,276008000,,-91784000,,,,-69401000,1646387000,1370379000,1203429000,-127946000,,217463000,217463000,49721,BGS
2016-12-31,,,177066000,,109425000,139451000,435236000,281982000,281982000,,-74456000,,,,67641000,1372307000,1090325000,937071000,-104916000,,109425000,109425000,49721,BGS
2020-12-31,,,470340000,123000,377778000,494935000,1031531000,536596000,536596000,,-44746000,,,,92562000,2351646000,1815050000,1320115000,-66256000,,377778000,377778000,49726,IEX
2019-12-31,,,532903000,123000,425521000,526858000,1128374000,601516000,601516000,,-44341000,,,,107382000,2494573000,1893057000,1366199000,-68613000,,425521000,425521000,49726,IEX
2018-12-31,,,528939000,123000,410573000,534462000,1117895000,581233000,581233000,2200000.0,-44134000,,,,118366000,2483666000,1902433000,1365771000,-52294000,,410573000,410573000,49726,IEX
2017-12-31,,,455273000,123000,337257000,527454000,1026678000,499224000,499224000,2200000.0,-44889000,,,,118016000,2287312000,1788088000,1260634000,-43951000,,337257000,337257000,49726,IEX
2020-12-31,,,6900000,,7700000,363000000,442700000,79700000,79700000,,-17200000,,,,-800000,1236400000,1156700000,793700000,-72800000,,7700000,4400000,49728,KNL
2019-12-31,16400000.0,,90900000,,67500000,389900000,549000000,142700000,142700000,,-21700000,,,,23400000,1428100000,1285400000,879100000,-51800000,,67500000,67500000,49728,KNL
2018-12-31,20100000.0,,98200000,200000.0,73300000,331800000,481500000,129600000,129600000,,-20900000,,,,24900000,1302300000,1172700000,820800000,-31400000,,73300000,73300000,49728,KNL
2017-12-31,19200000.0,,78600000,251000.0,80200000,286800000,414600000,108600000,108600000,,-7400000,,,,-1600000,1132900000,1024300000,718300000,-30000000,,80200000,80200000,49728,KNL
2019-12-31,,,2406109000,2279899000,1614085000,940577000,5211238000,2516755000,2516755000,646326000,-631233000,,,,236346000,13823732000,11306977000,8612494000,-110646000,,2169763000,1614085000,49731,ENIA
2018-12-31,,,2104990000,2107892000,1201381000,964536000,4784290000,2297176000,2297176000,545467000,-618791000,,,,437932000,12758074000,10460898000,7973784000,-192186000,,1667058000,1201381000,49731,ENIA
2017-12-31,,,1645648000,1798036000,709043000,907398000,4295950000,2137198000,2137198000,479120000,-432057000,,,,519134000,10242655000,8105457000,5946705000,-491550000,,1126514000,709043000,49731,ENIA
2016-12-31,,,1376069000,1680105000,566497000,678160000,3474110000,1927527000,1927527000,395185000,-485100000,,,,531461000,7407316000,5479789000,3933206000,-551458000,170263000.0,844608000,566497000,49731,ENIA
2019-12-31,44351851,,-62136804,,-60826831,12154702,0,-56506553,-56506553,,-603846,,,,-1309973,0,56506553,0,-5630251,,-60826831,-60826831,49734,ALDX
2018-12-31,29823007,,-38893245,,-38893245,9876144,0,-39699151,-39699151,,-146792,,,,0,0,39699151,0,805906,,-38893245,-38893245,49734,ALDX
2017-12-31,16302568,,-22340589,,-22340589,6185820,0,-22488388,-22488388,,-113453,,,,0,0,22488388,0,147799,,-22340589,-22340589,49734,ALDX
2016-12-31,13175670,,-18699450,,-18699450,5520308,0,-18695978,-18695978,,-105509,,,,0,0,18695978,0,-3472,,-18699450,-18699450,49734,ALDX
2019-12-31,23622830,,-5376101,,-6177438,26585193,44011226,-6088945,-6088945,-107852,,,,,801337,64428690,70517635,20417464,712844,,-6177438,-66853864,49736,API
2018-12-31,14425536,,481194,,376116,17359434,31022389,262567,262567,-1025148,,,,,105078,43656954,43394387,12634565,218627,,376116,-42820168,49736,API
2019-12-31,,,826564000,1103208000,564269000,654487000,1735484000,862311000,862311000,84606000,-88284000,,,,196519000,10192818000,9330507000,8457334000,-35747000,,630045000,564269000,49737,TX
2018-12-31,,,2031567000,1091321000,1506647000,667564000,2966383000,2098851000,2098851000,90936000,-131172000,,,,369435000,11454807000,9355956000,8488424000,-67284000,,1662132000,1506647000,49737,TX
2017-12-31,,,1359809000,842347000,886219000,629129000,2692280000,1858424000,1858424000,113433000,-114583000,,,,336882000,9700296000,7841872000,7008016000,-498615000,,1022927000,886219000,49737,TX
2016-12-31,,,1118457000,775295000,595644000,542380000,1836493000,1142126000,1142126000,99683000,-89971000,,,,411528000,7223975000,6081849000,5387482000,-23669000,,706929000,595644000,49737,TX
2019-12-31,35000,,-173000,878000,-146000,4818000,4417000,-436000,-436000,,-4000,,,,37000,17399000,17835000,12982000,263000,,-210000,-146000,49739,CLWT
2018-12-31,184000,,-373000,956000,88000,4567000,3699000,-1052000,-1052000,,-7000,,,,-312000,20104000,21156000,16405000,679000,,-61000,88000,49739,CLWT
2017-12-31,163000,,395000,1138000,473000,4813000,4413000,-563000,-563000,,-11000,,,,28000,17350000,17913000,12937000,958000,,367000,473000,49739,CLWT
2016-12-31,475000,,386000,1183000,231000,5127000,4951000,-651000,-651000,,-19000,,,,228000,22478000,23129000,17527000,1037000,,158000,231000,49739,CLWT
2020-12-31,,,704802000,,530670000,,3245731000,864142000,864142000,2381589000,-150537000,,,,171817000,8098925000,7234783000,4853194000,-159340000,,532985000,530670000,49740,WRB
2019-12-31,,,852920000,43403000.0,681944000,44107000.0,3368411000,975614000,975614000,2348690000,-153409000,,,,168935000,7902196000,6926582000,4533785000,-122694000,,683985000,681944000,49740,WRB
2018-12-31,,,812094000,41947000.0,640749000,45778000.0,3352500000,942212000,942212000,2364510000,-157185000,,,,163028000,7691651000,6749439000,4339151000,-130118000,,649066000,640749000,49740,WRB
2017-12-31,,,772770000,39819000.0,549094000,52925000.0,3356999000,935334000,935334000,2368740000,-147297000,,,,219433000,7684764000,6749430000,4327765000,-162564000,,553337000,549094000,49740,WRB
2020-02-29,,,-3066950,,-3066950,2015751,6983908,4968157,4968157,,,,,,0,6983908,2015751,0,-8035107,,-3066950,-3066950,49746,IGA
2019-02-28,,,3724317,,3724317,2120527,5879064,3758537,3758537,,-628.0,,,,0,5879064,2120527,0,-34220,,3724317,3724317,49746,IGA
2018-02-28,,,25588534,,25588534,2159366,5566467,3407101,3407101,,-371.0,,,,0,5566467,2159366,0,22181433,,25588534,25588534,49746,IGA
2017-02-28,,,36299987,,36299987,2040783,5265123,3224340,3224340,,-371.0,,,,0,5265123,2040783,0,33075647,,36299987,36299987,49746,IGA
2019-12-31,,,1943927000,551626000,1399512000,1758414000,4267867000,1878876000,1878876000,,-23687000,,,,451358000,12807684000,10928808000,8539817000,65051000,,1492569000,1399512000,49747,DISH
2018-12-31,,,2189175000,458569000,1575091000,1444655000,4304300000,2147621000,2147621000,,-15006000,,,,533684000,13621302000,11473681000,9317002000,41554000,,1655491000,1575091000,49747,DISH
2017-12-31,,,1650087000,383882000,2098689000,1817170000,4644112000,2009378000,2009378000,,-63172000,,,,-515320000,14391375000,12381997000,9747263000,-359291000,,2165407000,2098689000,49747,DISH
2016-12-31,,,2416603000,317408000,1497939000,2048939000,5310550000,2340409000,2340409000,,-53141000,,,,865818000,15212302000,12871893000,9901752000,76194000,,1550785000,1497939000,49747,DISH
2020-07-31,,,-101932000,,-101932000,10329000,144952000,134623000,134623000,,-17619000,,,,0,144952000,10329000,0,-236555000,,-101932000,-106833000,49748,PTY
2019-07-31,,,123001000,,123001000,9921000,133427000,123506000,123506000,,-11492000,,,,0,133427000,9921000,0,-505000,,123001000,112244000,49748,PTY
2018-07-31,,,115526000,,115526000,9759000,119276000,109517000,109517000,,-174000,,,,0,119276000,9759000,0,6009000,,115526000,108640000,49748,PTY
2017-07-31,,,237336000,,237336000,8533000,99003000,90470000,90470000,,15374000,,,,0,99003000,8533000,0,146866000,,237336000,234103000,49748,PTY
2019-12-31,45778000,,-149209000,,-149209000,101212000,16218000,-132341000,-132341000,,-20608000,,,,0,17456000,149797000,1238000,-16868000,,-149209000,-149209000,49749,VSTM
2018-12-31,43648000,,-72434000,,-72434000,77265000,26553000,-94783000,-94783000,,-5810000,,,,0,26718000,121501000,165000,22349000,,-72434000,-72434000,49749,VSTM
2017-12-31,46423000,,-67802000,,-67802000,21381000,0,-67804000,-67804000,,-559000,,,,0,0,67804000,0,2000,,-67802000,-67802000,49749,VSTM
2016-12-31,19779000,,-36440000,,-36440000,17223000,0,-37002000,-37002000,,-559000,,,,0,0,37002000,0,562000,,-36440000,-36440000,49749,VSTM
2020-12-31,,,6955000,,4746000,19855000,95975000,13873000,13873000,20888000,-5605000,,,,2209000,551138000,537265000,455163000,-6918000,,4746000,4746000,49750,USAK
2019-12-31,,,-4854000,,-4698000,27176000,89498000,3047000,3047000,22082000,-6597000,,,,-156000,522631000,519584000,433133000,-7901000,,-4698000,-4698000,49750,USAK
2018-12-31,,,16578000,,12204000,23240000,90318000,18219000,18219000,20535000,-3649000,,,,4374000,534060000,515841000,443742000,-1641000,,12204000,12204000,49750,USAK
2017-12-31,,,-6263000,,7497000,25628000,71414000,-1911000,-1911000,19234000,-3808000,,,,-13760000,446533000,448444000,375119000,-4352000,,7497000,7497000,49750,USAK
2019-12-31,,,-9201835,,-9439894,5194441,36982501,31788060,31788060,,-19619309,,,,238059,36982501,5194441,0,-40989895,,-9439894,-9439894,49751,TEI
2018-12-31,,,-44603304,,-44603304,6438232,46152176,39713944,39713944,,3762108,,,,0,46152176,6438232,0,-84317248,,-44603304,-44603304,49751,TEI
2017-12-31,,,57507026,,57507026,6482801,47321519,40838718,40838718,,-2065131,,,,0,47321519,6482801,0,16668308,,57507026,57507026,49751,TEI
2016-12-31,,,66528366,,66528366,6126105,40441467,34315362,34315362,,41199486,,,,0,40441467,6126105,0,32213004,,66528366,66528366,49751,TEI
2019-12-31,,,-96547000,,-96746000,301628000,203206000,-98422000,-98422000,,-616000,,,,199000,318037000,416459000,114831000,1875000,,-96746000,-100101000,49753,REAL
2018-12-31,,,-75666000,,-75765000,210822000,136918000,-73904000,-73904000,,-1152000,,,,99000,213732000,287636000,76814000,-1762000,,-75765000,-84687000,49753,REAL
2017-12-31,,,-52251000,,-52308000,139426000,87642000,-51784000,-51784000,,-762000,,,,57000,137521000,189305000,49879000,-467000,,-52308000,-54918000,49753,REAL
2020-05-31,68849,,-1856942,,3880575,4061621,1950548,-2179922,-2179922,,-2435,,,,-14638,4189924,6369846,2239376,322980,5722879,-1842304,3880575,49759,SMIT
2019-05-31,56833,,-1459649,,-1210990,3180497,1768762,-1468568,-1468568,,-12160,,,,8783,4729442,6198010,2960680,8919,257442,-1468432,-1210990,49759,SMIT
2018-05-31,327317,,236554,,210639,5582625,6065314,155372,155372,,-1401,,,,25915,13888063,13732691,7822749,81182,257442,210639,210639,49759,SMIT
2017-05-31,256164,,-1045355,,-1073364,5618327,4885807,-988684,-988684,,-2982,,,,28009,12397643,13386327,7511836,-56671,257442,-1073364,-1073364,49759,SMIT
2020-12-31,,,947000000,,695000000,2911000000,4238000000,1327000000,1327000000,,-93000000,,,,192000000,11797000000,10470000000,7559000000,-380000000,,755000000,695000000,49765,GWW
